	model	semantic_class_detailed	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	AgEvo	1.0	0.43608828773642677	0.453623490170999	0.017535202434572173	0.4360882877364268
1	distilbert/distilgpt2	AgP	0.7024739583333334	0.006284231219372791	0.22491802009274878	0.218633788873376	0.006284231219372771
2	distilbert/distilgpt2	ExpStim	1.0	0.4239185110272956	0.4437792547555132	0.01986074372821758	0.42391851102729566
3	distilbert/distilgpt2	StimExp	0.6607954545454545	0.004945522309439678	0.22199410740047987	0.2170485850910402	0.004945522309439676
