	model	freq_bin	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	high	25	0.3966881930828094	0.401581346988678	-0.004893153905868586	False
1	distilbert/distilgpt2	high	26	0.3966881930828094	0.413585215806961	-0.01689702272415161	False
2	distilbert/distilgpt2	high	27	0.4623220860958099	0.4568827450275421	0.005439341068267767	True
3	distilbert/distilgpt2	high	28	0.4623220860958099	0.4530443251132965	0.009277760982513372	True
4	distilbert/distilgpt2	high	29	0.4799900650978088	0.4401916265487671	0.03979843854904169	True
5	distilbert/distilgpt2	high	30	0.4799900650978088	0.4560754597187042	0.02391460537910456	True
6	distilbert/distilgpt2	high	31	0.3979915976524353	0.3761486709117889	0.021842926740646418	True
7	distilbert/distilgpt2	high	32	0.3979915976524353	0.4037202298641205	-0.005728632211685181	False
8	distilbert/distilgpt2	high	33	0.3376156687736511	0.3477731049060821	-0.010157436132430975	False
9	distilbert/distilgpt2	high	34	0.3376156687736511	0.3608933687210083	-0.023277699947357178	False
10	distilbert/distilgpt2	high	35	0.3375450372695923	0.3811477422714233	-0.043602705001831	False
11	distilbert/distilgpt2	high	36	0.3375450372695923	0.3598265647888183	-0.02228152751922602	False
12	distilbert/distilgpt2	high	37	0.4247939884662628	0.3814696371555328	0.043324351310730036	True
13	distilbert/distilgpt2	high	38	0.4247939884662628	0.3702194690704345	0.0545745193958283	True
14	distilbert/distilgpt2	high	39	0.3649172186851501	0.3570872843265533	0.007829934358596802	True
15	distilbert/distilgpt2	high	40	0.3649172186851501	0.3444285988807678	0.02048861980438227	True
16	distilbert/distilgpt2	high	41	0.4562976062297821	0.4699978232383728	-0.013700217008590698	False
17	distilbert/distilgpt2	high	42	0.4562976062297821	0.4582184553146362	-0.0019208490848540705	False
18	distilbert/distilgpt2	high	43	0.4650643169879913	0.4908446967601776	-0.025780379772186335	False
19	distilbert/distilgpt2	high	44	0.4650643169879913	0.4629380702972412	0.0021262466907500666	True
20	distilbert/distilgpt2	high	45	0.5266234874725342	0.5041994452476501	0.022424042224884033	True
21	distilbert/distilgpt2	high	46	0.5266234874725342	0.4990447461605072	0.027578741312026978	True
22	distilbert/distilgpt2	high	47	0.4626098871231079	0.4659071862697601	-0.003297299146652166	False
23	distilbert/distilgpt2	high	48	0.4626098871231079	0.4645965695381164	-0.0019866824150084894	False
24	distilbert/distilgpt2	high	49	0.5464832186698914	0.5304616093635559	0.01602160930633545	True
25	distilbert/distilgpt2	high	50	0.5464832186698914	0.5590834021568298	-0.012600183486938477	False
26	distilbert/distilgpt2	high	51	0.5828617811203003	0.5750675797462463	0.007794201374053955	True
27	distilbert/distilgpt2	high	52	0.5828617811203003	0.5841024518013	-0.0012406706809997559	False
28	distilbert/distilgpt2	high	53	0.6053310632705688	0.5927168726921082	0.012614190578460693	True
29	distilbert/distilgpt2	high	54	0.6053310632705688	0.5975399017333984	0.00779116153717041	True
30	distilbert/distilgpt2	high	55	0.5701135993003845	0.567768394947052	0.0023452043533325195	True
31	distilbert/distilgpt2	high	56	0.5701135993003845	0.568431556224823	0.0016820430755615234	True
32	distilbert/distilgpt2	high	73	0.2569989264011383	0.2862014174461365	-0.02920249104499817	False
33	distilbert/distilgpt2	high	74	0.2569989264011383	0.2516919672489166	0.00530695915222168	True
34	distilbert/distilgpt2	high	75	0.2616727352142334	0.3137049674987793	-0.0520322322845459	False
35	distilbert/distilgpt2	high	76	0.2616727352142334	0.2644921243190765	-0.002819389104843084	False
36	distilbert/distilgpt2	high	77	0.3561769127845764	0.3123610913753509	0.04381582140922552	True
37	distilbert/distilgpt2	high	78	0.3561769127845764	0.2886859774589538	0.06749093532562261	True
38	distilbert/distilgpt2	high	79	0.2714167237281799	0.2942201495170593	-0.02280342578887945	False
39	distilbert/distilgpt2	high	80	0.2714167237281799	0.2753749787807464	-0.003958255052566528	False
40	distilbert/distilgpt2	high	81	0.3638875484466553	0.3392549753189087	0.024632573127746582	True
41	distilbert/distilgpt2	high	82	0.3638875484466553	0.3879055678844452	-0.024018019437789917	False
42	distilbert/distilgpt2	high	83	0.3285039365291595	0.3230778574943542	0.005426079034805298	True
43	distilbert/distilgpt2	high	84	0.3285039365291595	0.3570541441440582	-0.028550207614898737	False
44	distilbert/distilgpt2	high	85	0.3121230006217956	0.3319593667984009	-0.01983636617660528	False
45	distilbert/distilgpt2	high	86	0.3121230006217956	0.3476892113685608	-0.03556621074676519	False
46	distilbert/distilgpt2	high	87	0.3255277276039123	0.2952939569950104	0.030233770608901922	True
47	distilbert/distilgpt2	high	88	0.3255277276039123	0.311293214559555	0.0142345130443573	True
48	distilbert/distilgpt2	high	89	0.4225486814975738	0.4156756103038788	0.006873071193695013	True
49	distilbert/distilgpt2	high	90	0.4225486814975738	0.4433749914169311	-0.0208263099193573	False
50	distilbert/distilgpt2	high	91	0.4245995879173279	0.4261268377304077	-0.001527249813079834	False
51	distilbert/distilgpt2	high	92	0.4245995879173279	0.4391111731529236	-0.014511585235595703	False
52	distilbert/distilgpt2	high	93	0.4713804125785827	0.4700065553188324	0.0013738572597503107	True
53	distilbert/distilgpt2	high	94	0.4713804125785827	0.4520366787910461	0.01934373378753662	True
54	distilbert/distilgpt2	high	95	0.4545142948627472	0.4523076713085174	0.002206623554229792	True
55	distilbert/distilgpt2	high	96	0.4545142948627472	0.4372376501560211	0.017276644706726074	True
