	model	semantic_class_detailed	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	AgEvo	25	0.4623220860958099	0.0218356288969516	0.44048645719885826	True
1	distilbert/distilgpt2	AgEvo	26	0.4623220860958099	0.0170588716864585	0.4452632144093514	True
2	distilbert/distilgpt2	AgEvo	27	0.3966881930828094	0.029870431870222	0.3668177612125874	True
3	distilbert/distilgpt2	AgEvo	28	0.3966881930828094	0.0205332897603511	0.37615490332245827	True
4	distilbert/distilgpt2	AgEvo	29	0.3979915976524353	0.0078783147037029	0.3901132829487324	True
5	distilbert/distilgpt2	AgEvo	30	0.3979915976524353	0.007116534281522	0.3908750633709133	True
6	distilbert/distilgpt2	AgEvo	31	0.4799900650978088	0.0098592787981033	0.4701307862997055	True
7	distilbert/distilgpt2	AgEvo	32	0.4799900650978088	0.0087776249274611	0.4712124401703477	True
8	distilbert/distilgpt2	AgEvo	41	0.4650643169879913	0.0489666238427162	0.41609769314527506	True
9	distilbert/distilgpt2	AgEvo	42	0.4650643169879913	0.0295055508613586	0.4355587661266327	True
10	distilbert/distilgpt2	AgEvo	43	0.4562976062297821	0.0658795908093452	0.3904180154204369	True
11	distilbert/distilgpt2	AgEvo	44	0.4562976062297821	0.0414926446974277	0.4148049615323544	True
12	distilbert/distilgpt2	AgEvo	45	0.4626098871231079	0.0152431987226009	0.44736668840050703	True
13	distilbert/distilgpt2	AgEvo	46	0.4626098871231079	0.0158615335822105	0.4467483535408974	True
14	distilbert/distilgpt2	AgEvo	47	0.5266234874725342	0.013321372680366	0.5133021147921681	True
15	distilbert/distilgpt2	AgEvo	48	0.5266234874725342	0.0163756944239139	0.5102477930486202	True
16	distilbert/distilgpt2	AgEvo	177	0.489323079586029	0.0545282624661922	0.4347948171198368	True
17	distilbert/distilgpt2	AgEvo	178	0.489323079586029	0.0520742572844028	0.4372488223016262	True
18	distilbert/distilgpt2	AgEvo	179	0.4836982190608978	0.0657313764095306	0.41796684265136724	True
19	distilbert/distilgpt2	AgEvo	180	0.4836982190608978	0.0600009150803089	0.4236973039805889	True
20	distilbert/distilgpt2	AgEvo	181	0.433231383562088	0.0215805005282163	0.4116508830338717	True
21	distilbert/distilgpt2	AgEvo	182	0.433231383562088	0.0139910336583852	0.4192403499037028	True
22	distilbert/distilgpt2	AgEvo	183	0.4805339276790619	0.0204190146178007	0.4601149130612612	True
23	distilbert/distilgpt2	AgEvo	184	0.4805339276790619	0.0162304248660802	0.4643035028129817	True
24	distilbert/distilgpt2	AgEvo	201	0.4502453207969665	0.0187866110354661	0.4314587097615004	True
25	distilbert/distilgpt2	AgEvo	202	0.4502453207969665	0.0127188479527831	0.4375264728441834	True
26	distilbert/distilgpt2	AgEvo	203	0.435453861951828	0.0271328967064619	0.4083209652453661	True
27	distilbert/distilgpt2	AgEvo	204	0.435453861951828	0.0190637037158012	0.4163901582360268	True
28	distilbert/distilgpt2	AgEvo	205	0.4436385333538055	0.0084593789651989	0.4351791543886066	True
29	distilbert/distilgpt2	AgEvo	206	0.4436385333538055	0.0098473634570837	0.4337911698967218	True
30	distilbert/distilgpt2	AgEvo	207	0.4959321022033691	0.0086153279989957	0.48731677420437336	True
31	distilbert/distilgpt2	AgEvo	208	0.4959321022033691	0.0123997312039136	0.4835323709994555	True
32	distilbert/distilgpt2	AgEvo	313	0.3767012655735016	0.0506138503551483	0.32608741521835327	True
33	distilbert/distilgpt2	AgEvo	314	0.3767012655735016	0.0433182045817375	0.33338306099176407	True
34	distilbert/distilgpt2	AgEvo	315	0.37009397149086	0.0614541769027709	0.3086397945880891	True
35	distilbert/distilgpt2	AgEvo	316	0.37009397149086	0.0521107465028762	0.3179832249879838	True
36	distilbert/distilgpt2	AgEvo	317	0.3358584940433502	0.016102397814393	0.31975609622895723	True
37	distilbert/distilgpt2	AgEvo	318	0.3358584940433502	0.0132373329252004	0.3226211611181498	True
38	distilbert/distilgpt2	AgEvo	319	0.3830110132694244	0.0144422631710767	0.36856875009834766	True
39	distilbert/distilgpt2	AgEvo	320	0.3830110132694244	0.013542016968131	0.3694689963012934	True
40	distilbert/distilgpt2	AgEvo	321	0.4039813280105591	0.0354760102927684	0.36850531771779066	True
41	distilbert/distilgpt2	AgEvo	322	0.4039813280105591	0.022596288472414	0.38138503953814507	True
42	distilbert/distilgpt2	AgEvo	323	0.3271280825138092	0.0367435216903686	0.2903845608234406	True
43	distilbert/distilgpt2	AgEvo	324	0.3271280825138092	0.0236511789262294	0.3034769035875798	True
44	distilbert/distilgpt2	AgEvo	325	0.4155541062355041	0.0083943763747811	0.407159729860723	True
45	distilbert/distilgpt2	AgEvo	326	0.4155541062355041	0.0106471627950668	0.4049069434404373	True
46	distilbert/distilgpt2	AgEvo	327	0.4662416577339172	0.0087990891188383	0.45744256861507887	True
47	distilbert/distilgpt2	AgEvo	328	0.4662416577339172	0.0154808741062879	0.4507607836276293	True
48	distilbert/distilgpt2	AgEvo	401	0.4146665036678314	0.0233121588826179	0.3913543447852135	True
49	distilbert/distilgpt2	AgEvo	402	0.4146665036678314	0.0169218480587005	0.3977446556091309	True
50	distilbert/distilgpt2	AgEvo	403	0.3838942945003509	0.0279045868664979	0.355989707633853	True
51	distilbert/distilgpt2	AgEvo	404	0.3838942945003509	0.0199582241475582	0.3639360703527927	True
52	distilbert/distilgpt2	AgEvo	405	0.3864112198352813	0.008952485397458	0.3774587344378233	True
53	distilbert/distilgpt2	AgEvo	406	0.3864112198352813	0.0094909528270363	0.376920267008245	True
54	distilbert/distilgpt2	AgEvo	407	0.4315209686756134	0.0075986580923199	0.4239223105832935	True
55	distilbert/distilgpt2	AgEvo	408	0.4315209686756134	0.010485403239727	0.4210355654358864	True
56	distilbert/distilgpt2	AgEvo	425	0.4969162940979004	0.0362751558423042	0.46064113825559616	True
57	distilbert/distilgpt2	AgEvo	426	0.4969162940979004	0.0266092270612716	0.4703070670366288	True
58	distilbert/distilgpt2	AgEvo	427	0.4440298080444336	0.0495779775083065	0.3944518305361271	True
59	distilbert/distilgpt2	AgEvo	428	0.4440298080444336	0.0361591205000877	0.4078706875443459	True
60	distilbert/distilgpt2	AgEvo	429	0.4870096743106842	0.0133726950734853	0.4736369792371989	True
61	distilbert/distilgpt2	AgEvo	430	0.4870096743106842	0.0159485824406147	0.4710610918700695	True
62	distilbert/distilgpt2	AgEvo	431	0.5103997588157654	0.0165876988321542	0.49381205998361116	True
63	distilbert/distilgpt2	AgEvo	432	0.5103997588157654	0.0279291812330484	0.482470577582717	True
64	distilbert/distilgpt2	AgEvo	433	0.5102431178092957	0.0128223812207579	0.49742073658853775	True
65	distilbert/distilgpt2	AgEvo	434	0.5102431178092957	0.0103855989873409	0.4998575188219547	True
66	distilbert/distilgpt2	AgEvo	435	0.4828659892082214	0.0149890817701816	0.4678769074380398	True
67	distilbert/distilgpt2	AgEvo	436	0.4828659892082214	0.0123086059466004	0.470557383261621	True
68	distilbert/distilgpt2	AgEvo	437	0.4233565330505371	0.0096043953672051	0.413752137683332	True
69	distilbert/distilgpt2	AgEvo	438	0.4233565330505371	0.0086180148646235	0.4147385181859136	True
70	distilbert/distilgpt2	AgEvo	439	0.5181312561035156	0.0071968692354857	0.5109343868680299	True
71	distilbert/distilgpt2	AgEvo	440	0.5181312561035156	0.0079961325973272	0.5101351235061884	True
72	distilbert/distilgpt2	AgEvo	457	0.4227229058742523	0.0122653963044285	0.4104575095698238	True
73	distilbert/distilgpt2	AgEvo	458	0.4227229058742523	0.0097855245694518	0.4129373813048005	True
74	distilbert/distilgpt2	AgEvo	459	0.3995527327060699	0.0178142320364713	0.3817385006695986	True
75	distilbert/distilgpt2	AgEvo	460	0.3995527327060699	0.0146094160154461	0.3849433166906238	True
76	distilbert/distilgpt2	AgEvo	461	0.4242345094680786	0.0108039714395999	0.41343053802847873	True
77	distilbert/distilgpt2	AgEvo	462	0.4242345094680786	0.0107131274417042	0.4135213820263744	True
78	distilbert/distilgpt2	AgEvo	463	0.5179250836372375	0.0077338367700576	0.51019124686718	True
79	distilbert/distilgpt2	AgEvo	464	0.5179250836372375	0.0111554600298404	0.5067696236073972	True
