	model	semantic_class_detailed	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	AgEvo	1.0	0.4353300068501002	0.45466578805988483	0.019335781209784596	0.43533000685010026
1	distilbert/distilgpt2	AgP	0.5716145833333334	0.004181150463409723	0.41532452513153356	0.41114337466812384	0.004181150463409722
2	distilbert/distilgpt2	ExpStim	1.0	0.4233231809352715	0.44578518718481064	0.022462006249539083	0.42332318093527155
3	distilbert/distilgpt2	StimExp	0.575	0.005729574540799312	0.42400085445154795	0.41827127991074864	0.005729574540799309
