	model	freq_bin	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	high	49	0.3966881930828094	0.401581346988678	-0.004893153905868586	False
1	distilbert/distilgpt2	high	50	0.3966881930828094	0.413585215806961	-0.01689702272415161	False
2	distilbert/distilgpt2	high	51	0.029870431870222	0.0201693028211593	0.009701129049062701	True
3	distilbert/distilgpt2	high	52	0.0205332897603511	0.0167981460690498	0.0037351436913013007	True
4	distilbert/distilgpt2	high	53	0.4623220860958099	0.4568827450275421	0.005439341068267767	True
5	distilbert/distilgpt2	high	54	0.4623220860958099	0.4530443251132965	0.009277760982513372	True
6	distilbert/distilgpt2	high	55	0.0218356288969516	0.0201693028211593	0.0016663260757922987	True
7	distilbert/distilgpt2	high	56	0.0170588716864585	0.0167981460690498	0.0002607256174087004	True
8	distilbert/distilgpt2	high	57	0.0098592787981033	0.0047254380770027	0.005133840721100599	True
9	distilbert/distilgpt2	high	58	0.0087776249274611	0.0045032817870378	0.0042743431404233005	True
10	distilbert/distilgpt2	high	59	0.4799900650978088	0.4401916265487671	0.03979843854904169	True
11	distilbert/distilgpt2	high	60	0.4799900650978088	0.4560754597187042	0.02391460537910456	True
12	distilbert/distilgpt2	high	61	0.0078783147037029	0.0047254380770027	0.0031528766267002	True
13	distilbert/distilgpt2	high	62	0.007116534281522	0.0045032817870378	0.0026132524944842	True
14	distilbert/distilgpt2	high	63	0.3979915976524353	0.3761486709117889	0.021842926740646418	True
15	distilbert/distilgpt2	high	64	0.3979915976524353	0.4037202298641205	-0.005728632211685181	False
16	distilbert/distilgpt2	high	65	0.3376156687736511	0.3477731049060821	-0.010157436132430975	False
17	distilbert/distilgpt2	high	66	0.3376156687736511	0.3608933687210083	-0.023277699947357178	False
18	distilbert/distilgpt2	high	67	0.042011309415102	0.0295818839222192	0.012429425492882798	True
19	distilbert/distilgpt2	high	68	0.0316157564520835	0.0291722379624843	0.0024435184895991967	True
20	distilbert/distilgpt2	high	69	0.3375450372695923	0.3811477422714233	-0.043602705001831	False
21	distilbert/distilgpt2	high	70	0.3375450372695923	0.3598265647888183	-0.02228152751922602	False
22	distilbert/distilgpt2	high	71	0.0303696263581514	0.0295818839222192	0.0007877424359322011	True
23	distilbert/distilgpt2	high	72	0.0233603976666927	0.0291722379624843	-0.005811840295791602	False
24	distilbert/distilgpt2	high	73	0.0271834395825862	0.014106597751379	0.013076841831207203	True
25	distilbert/distilgpt2	high	74	0.0377600453794002	0.0176178589463233	0.020142186433076897	True
26	distilbert/distilgpt2	high	75	0.4247939884662628	0.3814696371555328	0.043324351310730036	True
27	distilbert/distilgpt2	high	76	0.4247939884662628	0.3702194690704345	0.0545745193958283	True
28	distilbert/distilgpt2	high	77	0.0266813375055789	0.014106597751379	0.012574739754199902	True
29	distilbert/distilgpt2	high	78	0.0267019104212522	0.0176178589463233	0.009084051474928898	True
30	distilbert/distilgpt2	high	79	0.3649172186851501	0.3570872843265533	0.007829934358596802	True
31	distilbert/distilgpt2	high	80	0.3649172186851501	0.3444285988807678	0.02048861980438227	True
32	distilbert/distilgpt2	high	81	0.4562976062297821	0.4699978232383728	-0.013700217008590698	False
33	distilbert/distilgpt2	high	82	0.4562976062297821	0.4582184553146362	-0.0019208490848540705	False
34	distilbert/distilgpt2	high	83	0.0658795908093452	0.044817317277193	0.021062273532152204	True
35	distilbert/distilgpt2	high	84	0.0414926446974277	0.0335737019777298	0.007918942719697904	True
36	distilbert/distilgpt2	high	85	0.4650643169879913	0.4908446967601776	-0.025780379772186335	False
37	distilbert/distilgpt2	high	86	0.4650643169879913	0.4629380702972412	0.0021262466907500666	True
38	distilbert/distilgpt2	high	87	0.0489666238427162	0.044817317277193	0.004149306565523203	True
39	distilbert/distilgpt2	high	88	0.0295055508613586	0.0335737019777298	-0.004068151116371196	False
40	distilbert/distilgpt2	high	89	0.013321372680366	0.0072621745057404	0.0060591981746256	True
41	distilbert/distilgpt2	high	90	0.0163756944239139	0.0110770585015416	0.0052986359223722995	True
42	distilbert/distilgpt2	high	91	0.5266234874725342	0.5041994452476501	0.022424042224884033	True
43	distilbert/distilgpt2	high	92	0.5266234874725342	0.4990447461605072	0.027578741312026978	True
44	distilbert/distilgpt2	high	93	0.0152431987226009	0.0072621745057404	0.007981024216860502	True
45	distilbert/distilgpt2	high	94	0.0158615335822105	0.0110770585015416	0.0047844750806688985	True
46	distilbert/distilgpt2	high	95	0.4626098871231079	0.4659071862697601	-0.003297299146652166	False
47	distilbert/distilgpt2	high	96	0.4626098871231079	0.4645965695381164	-0.0019866824150084894	False
48	distilbert/distilgpt2	high	97	0.5464832186698914	0.5304616093635559	0.01602160930633545	True
