	model	semantic_class_detailed	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	AgEvo	49	0.3966881930828094	0.029870431870222	0.3668177612125874	True
1	distilbert/distilgpt2	AgEvo	50	0.3966881930828094	0.0205332897603511	0.37615490332245827	True
2	distilbert/distilgpt2	AgEvo	51	0.3761486709117889	0.0045032817870378	0.3716453891247511	True
3	distilbert/distilgpt2	AgEvo	52	0.4401916265487671	0.0045032817870378	0.4356883447617293	True
4	distilbert/distilgpt2	AgEvo	53	0.4623220860958099	0.0218356288969516	0.44048645719885826	True
5	distilbert/distilgpt2	AgEvo	54	0.4623220860958099	0.0170588716864585	0.4452632144093514	True
6	distilbert/distilgpt2	AgEvo	55	0.4037202298641205	0.0047254380770027	0.3989947917871178	True
7	distilbert/distilgpt2	AgEvo	56	0.4560754597187042	0.0047254380770027	0.4513500216417015	True
8	distilbert/distilgpt2	AgEvo	57	0.4568827450275421	0.0167981460690498	0.44008459895849233	True
9	distilbert/distilgpt2	AgEvo	58	0.401581346988678	0.0167981460690498	0.3847832009196282	True
10	distilbert/distilgpt2	AgEvo	59	0.4799900650978088	0.0098592787981033	0.4701307862997055	True
11	distilbert/distilgpt2	AgEvo	60	0.4799900650978088	0.0087776249274611	0.4712124401703477	True
12	distilbert/distilgpt2	AgEvo	61	0.4530443251132965	0.0201693028211593	0.4328750222921372	True
13	distilbert/distilgpt2	AgEvo	62	0.413585215806961	0.0201693028211593	0.3934159129858017	True
14	distilbert/distilgpt2	AgEvo	63	0.3979915976524353	0.0078783147037029	0.3901132829487324	True
15	distilbert/distilgpt2	AgEvo	64	0.3979915976524353	0.007116534281522	0.3908750633709133	True
16	distilbert/distilgpt2	AgEvo	81	0.4562976062297821	0.0658795908093452	0.3904180154204369	True
17	distilbert/distilgpt2	AgEvo	82	0.4562976062297821	0.0414926446974277	0.4148049615323544	True
18	distilbert/distilgpt2	AgEvo	83	0.4659071862697601	0.0110770585015416	0.45483012776821846	True
19	distilbert/distilgpt2	AgEvo	84	0.5041994452476501	0.0110770585015416	0.49312238674610853	True
20	distilbert/distilgpt2	AgEvo	85	0.4650643169879913	0.0489666238427162	0.41609769314527506	True
21	distilbert/distilgpt2	AgEvo	86	0.4650643169879913	0.0295055508613586	0.4355587661266327	True
22	distilbert/distilgpt2	AgEvo	87	0.4645965695381164	0.0072621745057404	0.457334395032376	True
23	distilbert/distilgpt2	AgEvo	88	0.4990447461605072	0.0072621745057404	0.4917825716547668	True
24	distilbert/distilgpt2	AgEvo	89	0.4908446967601776	0.0335737019777298	0.4572709947824478	True
25	distilbert/distilgpt2	AgEvo	90	0.4699978232383728	0.0335737019777298	0.436424121260643	True
26	distilbert/distilgpt2	AgEvo	91	0.5266234874725342	0.013321372680366	0.5133021147921681	True
27	distilbert/distilgpt2	AgEvo	92	0.5266234874725342	0.0163756944239139	0.5102477930486202	True
28	distilbert/distilgpt2	AgEvo	93	0.4629380702972412	0.044817317277193	0.4181207530200482	True
29	distilbert/distilgpt2	AgEvo	94	0.4582184553146362	0.044817317277193	0.41340113803744316	True
30	distilbert/distilgpt2	AgEvo	95	0.4626098871231079	0.0152431987226009	0.44736668840050703	True
31	distilbert/distilgpt2	AgEvo	96	0.4626098871231079	0.0158615335822105	0.4467483535408974	True
