	model	semantic_class_detailed	pairid	expected	unexpected	diff	acc
0	distilbert/distilgpt2	AgEvo	4	0.4121728241443634	0.0254565421491861	0.3867162819951773	True
1	distilbert/distilgpt2	AgEvo	6	0.413616418838501	0.0651499032974243	0.34846651554107666	True
2	distilbert/distilgpt2	AgEvo	23	0.4584735333919525	0.0481746308505535	0.410298902541399	True
3	distilbert/distilgpt2	AgEvo	26	0.4330690801143646	0.0129788303747773	0.4200902497395873	True
4	distilbert/distilgpt2	AgEvo	40	0.3460990190505981	0.0447788573801517	0.3013201616704464	True
5	distilbert/distilgpt2	AgEvo	41	0.3724881410598755	0.042459201067686	0.3300289399921895	True
6	distilbert/distilgpt2	AgEvo	51	0.3838942945003509	0.011911628767848	0.3719826657325029	True
7	distilbert/distilgpt2	AgEvo	54	0.4419450759887695	0.033964455127716	0.40798062086105347	True
8	distilbert/distilgpt2	AgEvo	55	0.529594361782074	0.0167346987873315	0.5128596629947425	True
9	distilbert/distilgpt2	AgEvo	58	0.40236496925354	0.0076921745203435	0.3946727947331965	True
10	distilbert/distilgpt2	AgEvo	59	0.4648537933826446	0.0213883444666862	0.4434654489159584	True
11	distilbert/distilgpt2	AgEvo	63	0.4146438837051391	0.0356301292777061	0.379013754427433	True
12	distilbert/distilgpt2	AgEvo	66	0.4589878022670746	0.0281375832855701	0.4308502189815045	True
13	distilbert/distilgpt2	AgEvo	69	0.3683030903339386	0.0362912900745868	0.3320118002593518	True
14	distilbert/distilgpt2	AgEvo	71	0.4646876752376556	0.0093724075704813	0.4553152676671743	True
15	distilbert/distilgpt2	AgEvo	76	0.4303470849990845	0.0216216500848531	0.40872543491423136	True
16	distilbert/distilgpt2	AgEvo	83	0.3964580297470093	0.0076275984756648	0.3888304312713445	True
17	distilbert/distilgpt2	AgEvo	89	0.3698532283306122	0.0175145044922828	0.35233872383832937	True
18	distilbert/distilgpt2	AgEvo	90	0.5599668025970459	0.0199726894497871	0.5399941131472588	True
19	distilbert/distilgpt2	AgEvo	93	0.4466833174228668	0.0107609219849109	0.4359223954379559	True
20	distilbert/distilgpt2	AgEvo	94	0.4463676810264587	0.0129269603639841	0.4334407206624746	True
21	distilbert/distilgpt2	AgEvo	96	0.189689502120018	0.0110807940363883	0.17860870808362972	True
22	distilbert/distilgpt2	AgEvo	97	0.4481357336044311	0.0169253423810005	0.4312103912234306	True
23	distilbert/distilgpt2	AgEvo	107	0.5269864797592163	0.0207050535827875	0.5062814261764288	True
24	distilbert/distilgpt2	AgEvo	132	0.4909649491310119	0.0107433209195733	0.4802216282114386	True
25	distilbert/distilgpt2	AgEvo	147	0.529736340045929	0.0617312490940094	0.46800509095191956	True
26	distilbert/distilgpt2	AgEvo	160	0.4148541390895843	0.0085457889363169	0.4063083501532674	True
27	distilbert/distilgpt2	AgEvo	168	0.5765705704689026	0.0288904327899217	0.5476801376789809	True
28	distilbert/distilgpt2	AgEvo	186	0.4059993326663971	0.0064062341116368	0.3995930985547603	True
29	distilbert/distilgpt2	AgEvo	199	0.4654406309127807	0.0507591404020786	0.41468149051070213	True
30	distilbert/distilgpt2	AgEvo	209	0.5043702125549316	0.0058701056987047	0.4985001068562269	True
31	distilbert/distilgpt2	AgEvo	212	0.6210632920265198	0.0265612825751304	0.5945020094513894	True
32	distilbert/distilgpt2	AgEvo	213	0.413016527891159	0.0109951859340071	0.4020213419571519	True
33	distilbert/distilgpt2	AgEvo	222	0.4617546796798706	0.0208864901214838	0.4408681895583868	True
34	distilbert/distilgpt2	AgEvo	224	0.4416452348232269	0.0130347246304154	0.4286105101928115	True
35	distilbert/distilgpt2	AgEvo	227	0.4661697447299957	0.0183551795780658	0.4478145651519299	True
36	distilbert/distilgpt2	AgEvo	231	0.4079130887985229	0.020649941638112	0.3872631471604109	True
