	model	ambiguity	pairid	expected	unexpected	diff	acc
0	utahnlp/boolq_gpt2_seed-1	ambiguous	2	3.620377242565155	4.709127724170685	-1.0887504816055298	True
1	utahnlp/boolq_gpt2_seed-1	ambiguous	4	3.5064460039138794	3.790779173374176	-0.28433316946029663	True
2	utahnlp/boolq_gpt2_seed-1	ambiguous	6	4.5534995794296265	5.005625247955322	-0.4521256685256958	True
3	utahnlp/boolq_gpt2_seed-1	ambiguous	8	4.249495804309845	4.454725861549377	-0.20523005723953247	True
4	utahnlp/boolq_gpt2_seed-1	unambiguous	1	3.3970597684383392	4.041356444358826	-0.6442966759204865	True
5	utahnlp/boolq_gpt2_seed-1	unambiguous	3	3.4368377923965454	3.886310398578644	-0.4494726061820984	True
6	utahnlp/boolq_gpt2_seed-1	unambiguous	5	4.349889755249023	4.800333023071289	-0.4504432678222656	True
7	utahnlp/boolq_gpt2_seed-1	unambiguous	7	3.951349377632141	4.461654186248779	-0.5103048086166382	True
